State/Ut Code,Men without higher education,Men with higher education,Women without higher education,Women with higher education
Jammu and Kashmir,85.68,14.32,91.05,8.95
Himachal Pradesh,75.6,24.4,79.03,20.97
Punjab,85.36,14.64,84.32,15.68
Chandigarh,56.55,43.45,62.9,37.1
Uttarakhand,76.01,23.99,81.92,18.08
Haryana,79.68,20.32,84.35,15.65
Delhi,74.47,25.53,78.66,21.34
Rajasthan,83.35,16.65,91.69,8.31
Uttar Pradesh,84.58,15.42,89.4,10.6
Bihar,87.75,12.25,94.75,5.25
Sikkim,86.77,13.23,90,10
Arunachal Pradesh,82.97,17.03,93.18,6.82
Nagaland,77.54,22.46,89.88,10.12
Manipur,77.92,22.08,87.98,12.02
Mizoram,77.5,22.5,88.55,11.45
Tripura,89.23,10.77,94.06,5.94
Meghalaya,89.26,10.74,89.03,10.97
Assam,96.06,3.94,97.31,2.69
West Bengal,87.44,12.56,91.92,8.08
Jharkhand,87.1,12.9,93.92,6.08
Odisha,88.7,11.3,94.36,5.64
Chhattisgarh,86.2,13.8,92.73,7.27
Madhya Pradesh,86.38,13.62,91.48,8.52
Gujarat,83.56,16.44,89.58,10.42
Dadra and Nagar Haveli and Daman and Diu,79.82,20.18,88.72,11.28
Maharashtra,77.27,22.73,85.44,14.56
Andhra Pradesh,82.24,17.76,91.32,8.68
Karnataka,79.86,20.14,88.12,11.88
Goa,80.3,19.7,78.62,21.38
Lakshadweep,77.35,22.65,85.32,14.68
Kerala,78,22,77,23
Tamilnadu,77.55,22.45,83.98,16.02
Puduchery,65.45,34.55,73.44,26.56
Andaman and Nicobar Islands,81.41,18.59,82.79,17.21
Telangana,75.85,24.15,88.27,11.73
Ladakh,89.87,10.13,91.76,8.24
