State,LiteracyRates
India,80.9
Andaman and Nicobar Islands,91.1
Andhra Pradesh,72.6
Arunachal Pradesh,84.2
Assam,87.0
Bihar,74.3
Chhattisgarh,78.5
Chandigarh,93.7
Dadra and Nagar Haveli,
Daman and Diu,
Dadra and Nagar Haveli and Daman and Diu,87.8
Delhi,86.9
Goa,93.6
Gujarat,84.6
Haryana,84.8
Himachal Pradesh,88.8
Jammu and Kashmir,82.0
Jharkhand,76.7
Karnataka,82.7
Kerala,95.3
Lakshadweep,97.3
Ladakh,81.0
Madhya Pradesh,75.2
Maharashtra,87.3
Manipur,92.0
Meghalaya,94.2
Mizoram,98.2
Nagaland,95.7
Odisha,79.0
Puducherry,92.7
Punjab,83.4
Rajasthan,75.8
Sikkim,84.7
Tamil Nadu,85.5
Telangana,76.9
Tripura,93.7
Uttarakhand,83.8
Uttar Pradesh,78.2
West Bengal,82.6
