,State/Ut Code,Men with higher education,Women with higher education,higher_education_average
0,Jammu and Kashmir,14.32,8.95,11.635
1,Himachal Pradesh,24.4,20.97,22.685
2,Punjab,14.64,15.68,15.16
3,Chandigarh,43.45,37.1,40.275000000000006
4,Uttarakhand,23.99,18.08,21.034999999999997
5,Haryana,20.32,15.65,17.985
6,Delhi,25.53,21.34,23.435000000000002
7,Rajasthan,16.65,8.31,12.48
8,Uttar Pradesh,15.42,10.6,13.01
9,Bihar,12.25,5.25,8.75
10,Sikkim,13.23,10.0,11.615
11,Arunachal Pradesh,17.03,6.82,11.925
12,Nagaland,22.46,10.12,16.29
13,Manipur,22.08,12.02,17.049999999999997
14,Mizoram,22.5,11.45,16.975
15,Tripura,10.77,5.94,8.355
16,Meghalaya,10.74,10.97,10.855
17,Assam,3.94,2.69,3.315
18,West Bengal,12.56,8.08,10.32
19,Jharkhand,12.9,6.08,9.49
20,Odisha,11.3,5.64,8.47
21,Chhattisgarh,13.8,7.27,10.535
22,Madhya Pradesh,13.62,8.52,11.07
23,Gujarat,16.44,10.42,13.43
24,Dadra and Nagar Haveli and Daman and Diu,20.18,11.28,15.73
25,Maharashtra,22.73,14.56,18.645
26,Andhra Pradesh,17.76,8.68,13.22
27,Karnataka,20.14,11.88,16.01
28,Goa,19.7,21.38,20.54
29,Lakshadweep,22.65,14.68,18.665
30,Kerala,22.0,23.0,22.5
31,Tamilnadu,22.45,16.02,19.235
32,Puduchery,34.55,26.56,30.555
33,Andaman and Nicobar Islands,18.59,17.21,17.9
34,Telangana,24.15,11.73,17.939999999999998
35,Ladakh,10.13,8.24,9.185
