States,StateWealth
Maharashtra,38798
Tamil Nadu,28300
Uttar Pradesh,24392
Gujarat,24630
Karnataka,25700
West Bengal,17190
Rajasthan,15700
Andhra Pradesh,14495
Telangana,14000
Madhya Pradesh,13871
Kerala,11300
Haryana,11200
Delhi,11077
Bihar,8590
Odisha,8650
Punjab,6980
Assam,5702
Chhattisgarh,5090
Jharkhand,4233
Uttarakhand,3462
Jammu and Kashmir,2411
Himachal Pradesh,2074
Goa,1000
Tripura,826
Chandigarh,
Meghalaya,466
Puducherry,479
Sikkim,489
Manipur,451
Nagaland,373
Arunachal Pradesh,379
Mizoram,339
Andaman and Nicobar Islands,
